vendor_id,vendor_type,business_name,license_number,license_state,license_expiry,rating,total_claims_processed,avg_estimate_accuracy,contact_phone,address,city,state,zip,last_audit_date,audit_status,notes
VND-002,medical_provider,Capital Orthopedic Rehab Group,MD-MED-2391,DC,2027-09-30,4.5,2250,0.97,202-555-8802,1330 U St NW,Washington,DC,20009,2024-11-22,passed,Orthopedic rehab and return‑to‑work evaluations. Offers telehealth follow‑ups for MD/VA residents.
VND-003,medical_provider,Susquehanna Injury Clinic,MD-MED-7720,PA,2026-11-30,3.5,610,0.88,412-555-3321,2700 Liberty Ave,Pittsburgh,PA,15222,2025-03-10,conditional,General musculoskeletal evaluations. Documentation refresh scheduled in 45 days.
VND-004,repair_shop,Blue Ridge Collision Works,MD-SHOP-5512,VA,2028-07-31,4.3,1380,0.94,540-555-2890,910 Jefferson Davis Hwy,Fredericksburg,VA,22401,2024-10-02,passed,Frame straightening and ADAS calibration. Supports Mid‑Atlantic insurers across VA/MD.
VND-005,medical_provider,PennTrauma Diagnostic Center,MD-MED-6611,PA,2027-01-20,4.9,3100,0.98,412-555-1190,400 Penn Ave,Pittsburgh,PA,15219,2024-09-18,passed,Elite trauma diagnostic center with rapid imaging turnaround. High‑accuracy reporting for complex cases.
VND-006,repair_shop,Harborfront Auto Restoration,MD-SHOP-9120,MD,2026-05-15,3.3,340,0.85,443-555-0776,2110 Boston St,Baltimore,MD,21231,2025-02-22,conditional,Classic vehicle restoration and repainting. Paired with mentor shop for improving estimate consistency.
VND-007,repair_shop,Potomac Metro Bodycare,MD-SHOP-4412,DC,2027-11-30,4.1,980,0.91,202-555-7733,1921 Bladensburg Rd NE,Washington,DC,20018,2024-12-03,passed,Urban collision center specializing in quick‑turn repairs. Supports rideshare fleet claims.
VND-008,medical_provider,Chesapeake Telehealth Triage,MD-MED-3301,MD,2028-01-15,4.4,1950,0.96,410-555-9812,101 North Charles St,Baltimore,MD,21201,2024-11-08,passed,Telehealth triage center providing rapid initial evaluations. Broad service to MD/VA/PA regions.
VND-009,repair_shop,Richmond Hybrid Collision,MD-SHOP-7344,VA,2027-03-31,4.5,1600,0.95,804-555-4144,5600 Midlothian Turnpike,Richmond,VA,23225,2024-10-13,passed,Hybrid and EV collision specialist with OEM certifications. Supports claims from VA and southern MD.
VND-010,medical_provider,Keystone Neurology Associates,MD-MED-5599,PA,2026-12-31,4.0,890,0.94,724-555-6610,1050 Forbes Ave,Pittsburgh,PA,15260,2024-12-20,passed,Neurological exams and post‑impact assessments. Provides remote consults for MD/VA adjusters.
VND-011,repair_shop,Downtown DC Auto Refinishing,MD-SHOP-1402,DC,2026-07-31,3.6,420,0.86,202-555-6622,700 New York Ave NW,Washington,DC,20001,2025-01-05,conditional,Urban refinishing center. Documentation update in progress to tighten estimate variance.
VND-012,medical_provider,Northern Virginia Sports Medicine Clinic,MD-MED-4900,VA,2027-05-31,4.3,1420,0.95,571-555-1209,8300 Arlington Blvd,Falls Church,VA,22042,2024-10-29,passed,Sports injury and rehab practice with high‑accuracy assessments. Supports MD and DC commuters.
VND-013,repair_shop,Allegheny Frame & Axle,MD-SHOP-2551,PA,2028-10-31,4.0,880,0.9,412-555-9901,1900 Saw Mill Run Blvd,Pittsburgh,PA,15210,2024-11-18,passed,"Frame, axle, and suspension specialist. Supports commercial fleet repairs."
VND-014,medical_provider,Capital Injury Assessment Center,MD-MED-4470,DC,2027-06-30,3.4,530,0.87,202-555-5510,1600 Rhode Island Ave NE,Washington,DC,20018,2025-02-20,conditional,Focus on minor trauma assessments. Remediation plan in place for documentation consistency.
VND-015,repair_shop,Baltimore Metro Glass Pros,MD-SHOP-8091,MD,2028-09-30,4.2,1320,0.92,410-555-2274,8300 Belair Rd,Nottingham,MD,21236,2024-12-05,passed,Glass replacement and ADAS recalibration. Mobile team covers MD and PA border regions.
VND-016,medical_provider,Blue Ridge Physical Therapy,MD-MED-6618,VA,2026-10-15,4.1,1100,0.95,540-555-9001,3100 Valley Pike,Winchester,VA,22601,2024-09-30,passed,PT and mobility rehab focusing on workplace injuries. Serves VA and MD panhandle.
VND-017,repair_shop,District Elite Collision,MD-SHOP-9922,DC,2027-03-31,4.9,2650,0.97,202-555-3244,500 Florida Ave NE,Washington,DC,20002,2024-11-19,passed,Elite collision partner with OEM certifications across multiple brands. Known for precision structural repairs.
VND-018,medical_provider,Susquehanna Tele‑Diagnostics,MD-MED-5520,PA,2028-04-30,4.2,1670,0.96,724-555-3300,4200 Fifth Ave,Pittsburgh,PA,15213,2024-10-05,passed,Remote diagnostic platform offering rapid turnaround imaging reads across PA and MD.
VND-019,repair_shop,Richmond Auto Frame Lab,MD-SHOP-6721,VA,2028-08-20,3.2,290,0.83,804-555-7721,2400 W Broad St,Richmond,VA,23220,2025-03-02,failed,Recent audit flagged documentation gaps; remediation plan includes staffing refresh and estimator training within 45 days.
VND-020,medical_provider,Metro Trauma & Spine Center,MD-MED-9944,MD,2028-06-30,4.6,2450,0.97,301-555-1800,8700 Georgia Ave,Silver Spring,MD,20910,2024-09-29,passed,Spine and trauma specialty group supporting MD/DC adjusters. High‑accuracy reporting for surgical cases.
VND-021,repair_shop,Allegheny Glass & Calibration,MD-SHOP-7211,PA,2027-09-30,4.0,990,0.91,412-555-6641,525 Grant St,Pittsburgh,PA,15219,2024-11-11,passed,Glass replacement with advanced ADAS calibration. Serves PA and WV border claims.
VND-022,medical_provider,District RapidCare Clinic,MD-MED-8832,DC,2027-08-20,3.6,700,0.9,202-555-1185,1400 K St NW,Washington,DC,20005,2025-01-28,conditional,Urgent‑care evaluations for minor injuries. Workflow overhaul scheduled for next month.
VND-023,repair_shop,Chesapeake Collision Specialists,MD-SHOP-3440,MD,2027-04-30,4.4,1500,0.94,443-555-9912,7900 Ritchie Hwy,Glen Burnie,MD,21061,2024-10-21,passed,OEM‑approved collision center covering MD and DC. Strong fraud‑monitoring controls.
VND-024,medical_provider,Potomac Regional Physiatry,MD-MED-7701,VA,2026-12-15,4.2,1570,0.95,703-555-7744,10400 Eaton Pl,Fairfax,VA,22030,2024-09-25,passed,Physiatry and functional capacity evaluations serving VA/MD commuters.
VND-000,repair_shop,Harborline Collision Center,MD-SHOP-1823,MD,2027-04-30,4.2,1250,0.91,410-555-2841,2210 Eastern Ave,Baltimore,MD,21231,2024-06-12,passed,EV-certified collision and OEM-aluminum specialist. Supports MD and southern PA radius.
VND-001,repair_shop,Rockville Auto Body Works,MD-SHOP-4471,MD,2026-12-01,3.5,310,0.86,301-555-1934,754 Hungerford Dr,Rockville,MD,20850,2025-03-10,conditional,Glass repair and frame correction shop. Documentation refresh scheduled in 45 days.
VND-002,repair_shop,Beltway Hybrid Collision,MD-SHOP-9932,MD,2028-02-17,4.4,1780,0.92,240-555-7782,11840 Parklawn Dr,North Bethesda,MD,20852,2024-11-28,passed,EV and hybrid repair specialization with OEM diagnostic gear.
VND-003,medical_provider,Maryland Injury & Rehab Clinic,MD-MED-3345,MD,2029-08-14,4.5,980,0.96,410-555-3221,5607 Reisterstown Rd,Baltimore,MD,21215,2024-10-03,passed,Orthopedic rehab and post-accident evaluations. Provides quick-turn telehealth triage.
VND-004,medical_provider,Potomac Chiropractic Group,MD-MED-7720,MD,2027-03-19,3.4,140,0.89,301-555-8824,14650 Rothgeb Dr,Rockville,MD,20850,2025-02-08,conditional,Musculoskeletal therapy unit. Undergoing mentoring to strengthen documentation controls.
VND-005,repair_shop,Annapolis Precision Auto,MD-SHOP-3156,MD,2027-09-22,4.1,890,0.9,410-555-6612,1920 West St,Annapolis,MD,21401,2024-05-18,passed,OEM-certified body repairs with marine-area corrosion expertise.
VND-006,medical_provider,Laurel Spine & Joint Center,MD-MED-5214,MD,2028-01-30,4.0,760,0.95,301-555-2108,9107 Woodyard Rd,Laurel,MD,20707,2024-09-15,passed,Orthopedic and soft-tissue specialist with expanded telehealth coverage for MD/VA border.
VND-007,repair_shop,Towson Car Care & Collision,MD-SHOP-6742,MD,2026-05-07,3.3,220,0.84,410-555-5519,6900 York Rd,Towson,MD,21204,2025-04-03,failed,Recent audit flagged estimate variance; shop engaged in process corrections with follow-up in 45 days.
VND-008,repair_shop,Richmond Elite Collision,MD-SHOP-2019,VA,2029-02-14,4.8,3220,0.95,804-555-9033,4120 Broad St,Richmond,VA,23230,2024-08-22,passed,High-volume OEM-certified EV center serving VA/MD corridors.
VND-009,repair_shop,Norfolk Coastal Auto Body,MD-SHOP-8412,VA,2026-11-01,4.3,1680,0.9,757-555-1004,5655 Virginia Beach Blvd,Norfolk,VA,23502,2024-07-10,passed,Aluminum frame lab and coastal corrosion mitigation.
VND-010,medical_provider,Alexandria Ortho & Rehab,NPI-5678892210,VA,2028-10-01,4.2,680,0.97,703-555-7821,1101 King St,Alexandria,VA,22314,2024-11-30,passed,Ortho rehab with digital follow-up platform supporting MD/DC patients.
VND-011,medical_provider,Arlington Integrated Care,NPI-4412239811,VA,2027-06-19,3.6,240,0.9,703-555-8820,3131 Wilson Blvd,Arlington,VA,22201,2025-02-21,conditional,Telehealth triage expansion underway with documentation review scheduled next quarter.
VND-012,repair_shop,Roanoke Motorworks,MD-SHOP-9134,VA,2027-12-12,4.0,1220,0.89,540-555-2299,2020 Franklin Rd,Roanoke,VA,24014,2024-09-05,passed,Structural repair facility with ADAS calibration unit.
VND-013,medical_provider,Fairfax Trauma & Rehab,NPI-7782300145,VA,2029-03-10,4.4,1340,0.97,703-555-6671,8500 Arlington Blvd,Fairfax,VA,22031,2024-12-17,passed,"Specializes in post-accident mobility recovery, supports DC commuters."
VND-014,repair_shop,Charlottesville Bodyline,MD-SHOP-5528,VA,2028-04-20,3.4,260,0.85,434-555-3320,1701 Seminole Trail,Charlottesville,VA,22901,2025-03-28,failed,Audit cited parts traceability gaps; remediation and mentoring in progress.
VND-015,repair_shop,Pittsburgh Metro Collision,MD-SHOP-7729,PA,2027-09-30,4.1,2100,0.91,412-555-6004,501 Liberty Ave,Pittsburgh,PA,15222,2024-08-01,passed,EV-capable collision hub serving western PA and WV border.
VND-016,repair_shop,Harrisburg Auto Refinish,MD-SHOP-1104,PA,2026-03-22,3.5,330,0.87,717-555-9182,410 Paxton St,Harrisburg,PA,17104,2025-01-04,conditional,Undergoing materials audit with documentation updates scheduled.
VND-017,medical_provider,Erie Regional Rehab Center,NPI-9910023417,PA,2027-10-11,4.3,880,0.96,814-555-1180,2600 State St,Erie,PA,16501,2024-06-19,passed,Orthopedic and neurological therapy with remote check-ins.
VND-018,medical_provider,Allentown Spine Center,NPI-6654322981,PA,2028-01-05,3.3,180,0.88,610-555-4319,1600 Hamilton St,Allentown,PA,18102,2025-02-14,failed,Audit flagged inconsistent notes; corrective coaching underway.
VND-019,repair_shop,Scranton Premier Auto,MD-SHOP-4510,PA,2029-12-01,4.2,980,0.92,570-555-2012,701 Wyoming Ave,Scranton,PA,18509,2024-11-20,passed,High-accuracy ADAS calibration center.
VND-020,repair_shop,Philadelphia Collision Hub,MD-SHOP-4008,PA,2028-08-09,4.0,1670,0.9,215-555-9072,1801 Market St,Philadelphia,PA,19103,2024-10-15,passed,OEM-certified structure and paint center with EV diagnostics.
VND-021,medical_provider,DC Metro Injury Clinic,NPI-5501102377,DC,2027-03-30,4.1,715,0.95,202-555-1128,1400 U St NW,Washington,DC,20009,2024-07-07,passed,Urban-focused triage and soft-tissue therapy for DC/MD commuters.
VND-022,repair_shop,Capital Hill Auto Body,MD-SHOP-3094,DC,2026-09-12,3.6,410,0.88,202-555-6140,725 Pennsylvania Ave SE,Washington,DC,20003,2025-03-01,conditional,Frame alignment team enhancing estimate consistency; follow-up in 60 days.
VND-023,medical_provider,Dupont Circle Wellness Group,NPI-8832109422,DC,2028-07-29,4.4,1020,0.97,202-555-9932,1630 Connecticut Ave NW,Washington,DC,20009,2024-09-22,passed,Specializes in whiplash rehab with telehealth check-ins.
VND-024,repair_shop,Georgetown Collision Studio,MD-SHOP-5521,DC,2027-02-17,4.0,780,0.9,202-555-4410,1251 Wisconsin Ave NW,Washington,DC,20007,2024-11-11,passed,High-end vehicle specialist with OEM paint lab.
VND-000,repair_shop,Baltimore EV Collision Center,MD-SHOP-4821,MD,2027-09-15,4.3,1250,0.92,410-555-2381,2301 North Howard St,Baltimore,MD,21218,2024-11-02,passed,EV-certified collision shop covering MD and DC. Strong OEM calibration capability.
VND-001,repair_shop,Chesapeake Glass & Body,MD-SHOP-3952,MD,2026-05-21,4.1,840,0.9,410-555-7740,640 Eastern Ave,Baltimore,MD,21202,2024-07-19,passed,Specializes in advanced glass recalibration. Supports mobile glass repair within 40-mile radius.
VND-002,medical_provider,Mid-Atlantic Ortho Rehab,MD-MED-1842,MD,2028-03-01,4.5,2100,0.97,443-555-9912,1011 York Rd,Towson,MD,21204,2024-05-14,passed,Orthopedic rehab center with high measurement consistency. Offers telehealth PT follow-ups.
VND-003,medical_provider,Capital Tele-Triage MD Unit,MD-MED-7723,MD,2027-12-31,3.5,620,0.88,410-555-5588,8700 Georgia Ave,Silver Spring,MD,20910,2024-10-05,conditional,Operates telehealth triage in MD and DC. Documentation refresh scheduled in 45 days.
VND-004,repair_shop,Annapolis Harbor Collision,MD-SHOP-9022,MD,2027-06-11,4.4,1630,0.94,410-555-6602,1220 West St,Annapolis,MD,21401,2024-08-28,passed,OEM-certified for multiple manufacturers. Strong aluminum repair capability.
VND-005,medical_provider,Patapsco Pain & Mobility,MD-MED-5027,MD,2028-09-14,3.3,310,0.85,443-555-4170,3201 Frederick Ave,Baltimore,MD,21229,2025-01-11,failed,Recent audit flagged inconsistent charting; remediation plan in place with mentor clinic.
VND-006,medical_provider,Richmond Ortho & Spine,MD-MED-6312,VA,2027-04-01,4.2,1880,0.96,804-555-9102,4901 Broad St,Richmond,VA,23230,2024-06-19,passed,Covers central VA with specialist spine evaluations; supports rapid reporting.
VND-007,repair_shop,Henrico Auto Refinishing,MD-SHOP-1188,VA,2026-11-22,4.0,980,0.89,804-555-6720,2020 Staples Mill Rd,Richmond,VA,23230,2024-09-10,passed,Provides structural and paint refinishing. Serves RVA metro and nearby counties.
VND-008,repair_shop,Old Dominion Collision South,MD-SHOP-7744,VA,2027-02-28,3.6,720,0.87,757-555-3981,3300 Jefferson Ave,Newport News,VA,23607,2024-10-14,conditional,Frame alignment accuracy improving; follow-up audit in 60 days.
VND-009,medical_provider,Virginia Integrated PT Network,MD-MED-2241,VA,2028-01-31,4.8,3100,0.98,703-555-1449,8410 Arlington Blvd,Fairfax,VA,22031,2024-05-03,passed,Elite partner offering multi-site PT and telehealth assessments across NoVA.
VND-010,repair_shop,Alexandria EV & Hybrid Works,MD-SHOP-6619,VA,2027-10-10,4.5,2050,0.95,703-555-9032,1100 Duke St,Alexandria,VA,22314,2024-04-22,passed,OEM EV-certified; supports ADAS calibration for MD-DC-VA customers.
VND-011,medical_provider,NoVA Neuromuscular Clinic,MD-MED-9302,VA,2026-12-11,3.4,540,0.86,703-555-8282,4100 Chain Bridge Rd,Fairfax,VA,22030,2025-01-16,failed,Audit cited missing imaging attachments; remediation and retraining underway.
VND-012,repair_shop,Pittsburgh Steel City Collision,MD-SHOP-3392,PA,2027-02-15,4.2,1600,0.91,412-555-9830,900 Liberty Ave,Pittsburgh,PA,15222,2024-09-30,passed,Strong track record in heavy-structure work. Covers western PA.
VND-013,repair_shop,Monroeville Auto Glass Pro,MD-SHOP-7472,PA,2026-08-09,4.0,670,0.9,412-555-7625,4340 William Penn Hwy,Monroeville,PA,15146,2024-07-12,passed,Mobile glass replacement and sensor calibration with 35-mile reach.
VND-014,medical_provider,Allegheny Sports Rehab,MD-MED-1190,PA,2028-06-19,4.3,1750,0.96,412-555-4102,200 Grant St,Pittsburgh,PA,15219,2024-10-01,passed,Sports-medicine rehab with rapid turnaround reports.
VND-015,medical_provider,Harrisburg Integrated Care,MD-MED-6622,PA,2027-03-03,3.5,590,0.89,717-555-9300,500 Market St,Harrisburg,PA,17101,2024-11-20,conditional,Undergoing documentation standardization; follow-up audit in 45 days.
VND-016,repair_shop,Erie Lakeside Collision,MD-SHOP-5811,PA,2026-12-25,4.4,1400,0.92,814-555-3119,1450 State St,Erie,PA,16501,2024-06-28,passed,Specializes in modern ADAS alignment for northern PA customers.
VND-017,medical_provider,DC Metro Health Triage,MD-MED-3150,DC,2027-01-14,4.1,1500,0.95,202-555-7177,500 K St NW,Washington,DC,20001,2024-09-09,passed,Hybrid telehealth and in-office triage with rapid claim-friendly documentation.
VND-018,repair_shop,District Collision & EV Calib,MD-SHOP-2244,DC,2026-04-16,4.5,2100,0.93,202-555-2210,1401 Massachusetts Ave SE,Washington,DC,20003,2024-10-18,passed,EV and hybrid calibration specialist serving DC and Arlington corridor.
VND-019,medical_provider,Capitol Hill Musculoskeletal,MD-MED-4782,DC,2028-08-30,3.6,680,0.9,202-555-9022,700 Pennsylvania Ave SE,Washington,DC,20003,2024-10-25,conditional,Charts need uniform coding; corrective training underway.
VND-020,repair_shop,Frederick County AutoWorks,MD-SHOP-9134,MD,2027-09-27,4.2,1100,0.91,301-555-7192,1500 West Patrick St,Frederick,MD,21702,2024-06-09,passed,General collision and light-frame work. Supports MD-PA border clients.
VND-021,repair_shop,Rockville Precision Body,MD-SHOP-6601,MD,2026-10-19,3.4,580,0.86,301-555-1140,751 Hungerford Dr,Rockville,MD,20850,2025-01-05,failed,Audit found calibration gaps; mentor-shop partnership scheduled.
VND-022,medical_provider,Laurel Acute Care Diagnostics,MD-MED-8420,MD,2028-11-02,4.0,1500,0.94,301-555-7654,910 Washington Blvd,Laurel,MD,20707,2024-03-22,passed,Same-day diagnostics with extended weekend availability.
VND-023,medical_provider,Roanoke Therapeutic Rehab,MD-MED-5531,VA,2026-02-13,4.4,1700,0.96,540-555-5510,120 Church Ave SW,Roanoke,VA,24011,2024-11-04,passed,High-precision PT evaluations; supports southwest VA corridor.
VND-024,repair_shop,Charlottesville Auto Craft,MD-SHOP-2904,VA,2027-05-05,3.6,750,0.88,434-555-2911,350 Emmet St N,Charlottesville,VA,22903,2024-10-29,conditional,Improving parts documentation accuracy; re-audit planned in 45 days.
